... loading data
... building the model
... training the model
epoch 1, minibatch 83/83, validation error 11.322917 %
     epoch 1, minibatch 83/83, test error of best model 10.989583 %
epoch 2, minibatch 83/83, validation error 10.000000 %
     epoch 2, minibatch 83/83, test error of best model 9.906250 %
epoch 3, minibatch 83/83, validation error 9.385417 %
     epoch 3, minibatch 83/83, test error of best model 9.239583 %
epoch 4, minibatch 83/83, validation error 9.083333 %
     epoch 4, minibatch 83/83, test error of best model 8.895833 %
epoch 5, minibatch 83/83, validation error 8.906250 %
     epoch 5, minibatch 83/83, test error of best model 8.760417 %
epoch 6, minibatch 83/83, validation error 8.770833 %
     epoch 6, minibatch 83/83, test error of best model 8.479167 %
epoch 7, minibatch 83/83, validation error 8.552083 %
     epoch 7, minibatch 83/83, test error of best model 8.322917 %
epoch 8, minibatch 83/83, validation error 8.468750 %
     epoch 8, minibatch 83/83, test error of best model 8.239583 %
epoch 9, minibatch 83/83, validation error 8.281250 %
     epoch 9, minibatch 83/83, test error of best model 8.125000 %
epoch 10, minibatch 83/83, validation error 8.250000 %
     epoch 10, minibatch 83/83, test error of best model 8.104167 %
epoch 11, minibatch 83/83, validation error 8.187500 %
     epoch 11, minibatch 83/83, test error of best model 8.062500 %
epoch 12, minibatch 83/83, validation error 8.197917 %
epoch 13, minibatch 83/83, validation error 8.083333 %
     epoch 13, minibatch 83/83, test error of best model 7.937500 %
epoch 14, minibatch 83/83, validation error 8.041667 %
     epoch 14, minibatch 83/83, test error of best model 7.906250 %
epoch 15, minibatch 83/83, validation error 8.000000 %
     epoch 15, minibatch 83/83, test error of best model 7.854167 %
epoch 16, minibatch 83/83, validation error 7.906250 %
     epoch 16, minibatch 83/83, test error of best model 7.833333 %
epoch 17, minibatch 83/83, validation error 7.885417 %
     epoch 17, minibatch 83/83, test error of best model 7.781250 %
epoch 18, minibatch 83/83, validation error 7.843750 %
     epoch 18, minibatch 83/83, test error of best model 7.718750 %
epoch 19, minibatch 83/83, validation error 7.812500 %
     epoch 19, minibatch 83/83, test error of best model 7.718750 %
epoch 20, minibatch 83/83, validation error 7.802083 %
     epoch 20, minibatch 83/83, test error of best model 7.666667 %
epoch 21, minibatch 83/83, validation error 7.864583 %
epoch 22, minibatch 83/83, validation error 7.750000 %
     epoch 22, minibatch 83/83, test error of best model 7.645833 %
epoch 23, minibatch 83/83, validation error 7.770833 %
epoch 24, minibatch 83/83, validation error 7.708333 %
     epoch 24, minibatch 83/83, test error of best model 7.520833 %
epoch 25, minibatch 83/83, validation error 7.739583 %
epoch 26, minibatch 83/83, validation error 7.697917 %
     epoch 26, minibatch 83/83, test error of best model 7.468750 %
epoch 27, minibatch 83/83, validation error 7.687500 %
     epoch 27, minibatch 83/83, test error of best model 7.458333 %
epoch 28, minibatch 83/83, validation error 7.750000 %
epoch 29, minibatch 83/83, validation error 7.687500 %
epoch 30, minibatch 83/83, validation error 7.656250 %
     epoch 30, minibatch 83/83, test error of best model 7.458333 %
epoch 31, minibatch 83/83, validation error 7.687500 %
epoch 32, minibatch 83/83, validation error 7.635417 %
     epoch 32, minibatch 83/83, test error of best model 7.447917 %
epoch 33, minibatch 83/83, validation error 7.625000 %
     epoch 33, minibatch 83/83, test error of best model 7.468750 %
epoch 34, minibatch 83/83, validation error 7.604167 %
     epoch 34, minibatch 83/83, test error of best model 7.510417 %
epoch 35, minibatch 83/83, validation error 7.583333 %
     epoch 35, minibatch 83/83, test error of best model 7.468750 %
epoch 36, minibatch 83/83, validation error 7.562500 %
     epoch 36, minibatch 83/83, test error of best model 7.437500 %
epoch 37, minibatch 83/83, validation error 7.583333 %
epoch 38, minibatch 83/83, validation error 7.635417 %
epoch 39, minibatch 83/83, validation error 7.520833 %
     epoch 39, minibatch 83/83, test error of best model 7.395833 %
